id,date,massif,sommet,itineraire,description,orientation,caracteristique,origine_principale,origine_secondaire,type_ecoulement_principal,qualite_neige,risque_meteo_france,latitude,longitude,thumbnail,imagesNb,isPrivate,tags,updated,altitude_depart,altitude_arrivee
1641764192963,1641682800000,Belledonne,,Hors piste le collet d allevard,b'Plaque de 30 cm depaisseur partie en foret  . La plaque a ete declenchee a distance alors que nous etions sur un dome  (propagation sur environ 30 m) .',NW,b'',Backcountry skier,,,,4 - FORT,45.39768178407527,6.1270323158309035,/attached-files/thumbnails/1641763968227-4CE52F4FF4084481853BDBF6EDCA0B1C.jpeg,1,False,"à distance, ",1641791229000,1680,1650
1641803675183,1641596400000,Vercors,Pas de l'Oeille,Couloir des Sultanes,"b'Plaque a vent declenchee par skieur a la montee, 20 metres de large pour 40/50 metres de long'",E,b'',"Ski touring, uphill",,,,Inconnu,45.014468007894756,5.588259416064788,/attached-files/thumbnails/1641803420091-5.jpg,5,False,,1641803675000,0,0
1641715368767,1641596400000,Belledonne,Bec d'Arguille - combe au dessus de la Marmottane,Bec d'Arguille,"b""Depart de plaque a la montee, sous les skis du traceur, environ 50 cm d'epaisseur sur 20 metres. Pente de l'ordre de 35.\r\n\r\nCouche recente, type plaque a vent.\r\n\r\n3eme skieur a la montee dans l'axe de la plaque, je suis rapidement embarque sur environ 15 metres et enfoui par l'avalanche. seul un gant depasse. Mes 3 amis (a distance de la plaque) s'organisent et me sortent de la 5 a 10 minutes plus tard. Suite au pelletage, on entend plusieurs fois la neige se tasser sous nos pieds, on part rapidement. Pas de blessure, perte anecdotique des batons et des lunettes.\r\n\r\nPlusieurs erreurs: \r\n- une mauvaise visibilite (brouillard) qui complique la lecture du terrain y compris avec gps : mauvais choix du cheminement,\r\n- Des alertes a la montee (neige changeante, epaisseurs de neige heterogenes, indices de transport et d'accumulations par le vent),\r\n\r\nnb: Choques, nous n'avons malheureusement pas pris de photo et sommes partis rapidement. Je partage tout de meme un plan qui croise ma trace gpx avec la carte des pentes .""",SW,b'',"Ski touring, uphill",,,,Inconnu,45.266221333545154,6.126840845948234,/attached-files/thumbnails/1641715266996-avalanche.PNG,1,False,,1641715368000,2400,2380
1641666911429,1641596400000,Belledonne,col du loup,,"b""Depart de plaque a vent sous nos skis a quelques metres sous le col.\r\nCassure 10 a 30cm sur environ 100m de large, pente a environ 35.\r\nDepot de 90cm au plus epais. \r\nDepart de l'accumulation sous le vent du col au passage des skieurs.\r\n\r\n\r\nErreurs cles : choix de l'emplacement de la trace, distance entre skieurs insuffisante.""",W,b'Wind slab',"Ski touring, uphill",,,,3 - MARQUE,45.17364146893761,5.947805524473797,/attached-files/thumbnails/1641665758199-IMG20220108125110.jpg,4,False,,1641668083000,2360,2310
1641489159010,1641423600000,Lauzière,Pointe de Combe Bronsin,Voie normale de la Pointe de Combe Bronsin (montée par le vallon de Colomban),"b""Plaque a vent juste sous le sommet, declenchee par un skieur a la descente (pas d'ensevelissement, pas de blessure, pas de perte de materiel). Epaisseur de la cassure : 40 cm maximum. Plaque assez dure, depot sur le replat 50 m sous le sommet. Pente de 40 environ au niveau de la cassure. De la neige recente moins densifiee constituait probablement la couche fragile.\r\nNombreuses petites plaques a vent observees ce jour dans le secteur.""",SE,b'',"Ski touring, downhill",,,,Inconnu,45.518470769407195,6.396018079114701,/attached-files/thumbnails/1641488808458-20220106132051.jpg,4,False,,1641489807000,2490,2450
1641492359543,1641423600000,Lauzière - Cheval Noir,Pointe de Combe Bronsin,Descente par la Cave,"b""Petite plaque a vent (10 a 15 cm d'epaisseur en moyenne pour la cassure) en entree du couloir, ayant entraine une personne sur 150 m de denivele. D'autres petites accumulations sur les cotes du couloir sont egalement parties (en rive gauche uniquement). Depot consequent de neige seche peu dense. Pas d'ensevelissement pour la victime, pas de blessure importante, perte d'un baton.""",E,b'',"Ski touring, downhill",,,,Inconnu,45.51357378414601,6.404481114444073,/attached-files/thumbnails/1641490494109-20220106134437.jpg,4,False,,1641492359000,2150,2000
1641550878892,1641423600000,Belledonne,,couloir ouest de la dent noire de Bédina,"b""Avalanche de neige poudreuse. \r\nEnvirons 20cm sur neige dure-gelee. \r\nL'avalanche s'est declenchee lors du deuxieme passage a ski.\r\nL'avalanche a mobilisee plus de neige par la suite, creant une zone de depot d'environ 50m de large. Depot assez important (environ 50 a 80cm de neige).\r\nHeureusement pas de bobos, mais un ski de perdu dans le depot de la coulee. (Zag Ubac 95)\r\nSi vous le retrouvez, merci de nous contacter par mail a l'adresse ubac95@hotmail.com , nous vous en serons tres reconnaissant.""",W,b'',"Ski touring, downhill",,,,Inconnu,45.23508607856486,6.021345280596071,/attached-files/thumbnails/1641550815809-WhatsAppImage20220106at200133.jpeg,1,False,,1641550878000,0,0
1641472919457,1641337200000,Beaufortain,Mont Rosset,,b'Plusieurs petites plaques mobilisant la couche de neige recente.',NE,b'',Wind,,,,Inconnu,45.62506334013204,6.665980200664574,/attached-files/thumbnails/1641472881331-1081E651C5A14F709DF229643315B99C.jpeg,1,False,,1641472919000,2370,0
1641290292750,1641250800000,ARVAN - villard,merlet,"col des fouages, natey, vallorins ","b""purge de toute les faces nord  du Merlet, du col des Fouages jusqu'au Natey et l'ouest des Vallorins \r\ndepots impressionnants qui s'arretent au niveau du torrent (desole pour les photos il faisait nuit)\r\ndate inconnue, lie a l'episode de pluie\r\npurge souvent jusqu'au terrain\r\ntorrent apparent dans le vallon et gros debit qui a entraine de nombreux affaissements et crevasses du manteau""",N,b'',Rain,,,,Inconnu,45.31859657930829,6.208354145631444,/attached-files/thumbnails/1641290267625-20220103081711.jpg,2,False,,1641290292000,2400,1850
1641142699048,1641078000000,Belledonne,Le Ferrouillet,,b'Coulee fraiche. au pied du ferrouillet.',T,b'',,,,,Inconnu,45.20477593324221,6.013477816973692,/attached-files/thumbnails/1641142607409-1641142398919.jpg,1,False,,1641142699000,0,0
1641135794587,1640905200000,Chartreuse,chamechaude,Habert de Chamechaude - Emeindras par le GR,"b'Venant depuis le habert de Chamechaude par le GR, nous constatons une premiere avalanche partie depuis une zone herbeuse/vegetation, datant sans doute de la veille. Arrive tout juste en sortie de foret au niveau de la zone d\'eboulis, je vois une avalanche de fonte qui vient de demarrer plus haut sur la barre rocheuse et apercois un chamois situe juste dans l\'axe sur le bas de la barre rocheuse faire un bon de cote pour l\'eviter. (arrive trop tard pour savoir si le passage du chamois a aide a declencher l\'avalanche).\r\nLa coulee de l\'avalanche descend un peu plus bas que le chemin et baisse vite en intensite. (duree moins d\'1 minute).\r\n\r\n<a href=""https://fb.watch/ahtTlcw2jz/"" target=""_blank"">Video prise en fin de la coulee :</a>'",NW,b'',Warming,,,,Inconnu,45.284184191662554,5.793365478384659,/attached-files/thumbnails/1641134883399-P1800060.JPG,5,False,,1641146368000,1600,1500
1640881845508,1640818800000,Haute Maurienne,Signal du Grand Mont Cenis,L'Arcelle,"b'Tres vaste avalanche partie spontanement dans la nuit de mercredi a jeudi.\r\nRuptures probable dans une vielle couche fragile persistante avec une grande propagation.\r\nDepot au niveau de la pyramide, en bordure de la piste.'",NW,b'',,,,,4 - FORT,45.26954681783584,6.950273421235861,/attached-files/thumbnails/1640881845508-1640882249715-IMG7042.png,2,False,,1640882316000,3100,2300
1641063101983,1640818800000,Belledonne,,Brèche Robert Sud depuis les Pourettes,b'Observee le 1 janvier mais probablement partie le 30.',NE,b'',Rain,,,,Inconnu,45.13258209579571,5.9043359756469735,/attached-files/thumbnails/1641063017089-Avalanche.jpg,1,False,,1641063101000,2000,1800
1641335103779,1640818800000,Mont Blanc,col d'Argentière,Voie classique,"b'Plusieurs avalanches parties naturellement sans doute le jeudi 30 decembre 2021, suite aux importantes precipitations des jours precedents.  Impressionnant. \r\nDe nombreuses pentes inferieures a 30 degres sont concernees.'",W,b'',Others,,,,Inconnu,45.946371256748975,7.03188778004134,/attached-files/thumbnails/1641334964411-IMG5385.JPG,1,False,,1641335103000,3450,2750
1641572442149,1640818800000,Beaufortain,Quermoz,Face NE,"b""Avalanche ayant emportee toute la face NE.\r\nDate inconnue mais la chute de neige du 28/12 a ete suivie le lendemain d'un episode de pluie jusqu'a 2500m puis ensuite d'un fort redoux / ensoleillement (iso 3500m). Manteau devenant neigeux gorge d'eau.\r\nCassure 5m sous le sommet, epaisseur 20/30cm. Depot jusqu'en bas de la face.""",NE,b'',Rain,,,,Inconnu,45.561031688584,6.562700151423782,/attached-files/thumbnails/1641572366933-IMG20211231105728.jpg,1,False,,1641589210000,2290,2180
1640937310520,1640818800000,Haute Maurienne,Bonneval sur Arc,Andagne,"b'""Avalanche dans le secteur du telesiege des 3000, il n\'y a pas de victime"".\r\nAu moins deux avalanches presumees accidentelles se sont produites en debut d\'apres midi, d\'apres les temoins. Elles se sont ajoutees aux multiples plaques deja parties spontanement ou declenchees artificiellement la veille au soir (Gazex) pour la protection de la route d\'acces au village.\r\nAu moins en altitude, les conditions restent risquees pour les jours a venir.\r\nVoir la video de test nivologique -explicite- realise sur place moins de 24 heures apres le depart de l\'avalanche.\r\n<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LvqJY36_ypI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""true""></iframe>'",W,b'',,Snow,Mixed,Soft dry,3 - MARQUE,45.35006,7.059024,/attached-files/thumbnails/1640937310520-1640972778640-IMG9979.JPG,9,False,,1640973039000,3050,2700
1640944818534,1640818800000,Queyras,tête des fournéous,,b'Depart de plaque\r\nDeclenchement certainement preventif',SE,b'',Unknown,,,,Inconnu,44.95685313519744,6.712351077067265,/attached-files/thumbnails/1640944302440-IMG20211230143359.jpg,1,False,,1640944818000,2600,2450
1640879979901,1640818800000,Queyras,crête de Peyre Nière,Vallon de l'Ourtet,"b""Plaque declenchee par le 3eme ou 4eme skieur d'un groupe, a la descente. Personne d'enseveli. Largeur 40 a 50 m. Cassure 40 a 50 cm.""",W,b'',"Ski touring, downhill",,,,3 - MARQUE,44.739473447835834,6.902707935751954,/attached-files/thumbnails/1640879734849-IMG202112301647361.jpg,2,False,,1640881255000,2790,2670
1640970016403,1640818800000,Vanoise,Aiguille de Mey,Couloir des Marmottons,b'Vaste avalanche descendue naturellement jeudi matin vers 10:00',E,b'',,,,,Inconnu,45.37318742641878,6.698181641674697,/attached-files/thumbnails/1640970016403-1640970433594-PHOTO20211231134230.jpg,4,False,,1640974335000,2700,1570
1641029471906,1640818800000,Champsaur,Grande Autane,,"b""Tres vaste avalanche temoignant d'un grande fragilite ce jour la. Une paque observee en Est sous le sommet et une autre tres large dans les pentes NE surplombant le torrent de l'Ubac.\r\nDate incertaine, observation le samedi 31 decembre.\r\n\r\nUne autre avalanche du meme type observe ce jour dans les pentes NO du Mourre Froid, juste a cote.""",NE,b'',,,,,Inconnu,44.64560848680955,6.298394059990052,/attached-files/thumbnails/1641029471906-1641029867653-P1010032Copie.JPG,5,False,,1641029962000,2600,1900
1640855043047,1640818800000,Oisans,,Vallon de la Grave,b'Grosse plaque declenchee lors du passage de skieurs ce matin.',N,b'',Backcountry skier,Warming,,,4 - FORT,45.01517702204655,6.279806202527146,/attached-files/thumbnails/1640855043047-1640855463310-9A1F5BF129F249F4B8C477BD4B4D0CC2.jpeg,3,False,,1640856620000,2600,0
1640855461580,1640818800000,Oisans,Saint Christophe en Oisans,RD 530. Combe Blanche ?,,W,b'',Snow,Warming,,,3 - MARQUE,44.951082,6.196722,,0,True,,1640855678000,2700,0
1640797398794,1640732400000,Haute Maurienne,Bessans,,"b'Une des tres nombreuses purges observees dans le secteur, jamais de tres grande ampleur.'",SE,b'',Rain,Warming,,Wet,3 - MARQUE,45.34221,7.019729,/attached-files/thumbnails/1640797398794-1640797618075-IMG9922.JPG,2,False,,1640797650000,2150,1780
1640798108178,1640732400000,Haute Maurienne,Bessans,Fenêtre d'Andagne,"b""Quelques uns des glissements de plaques de fond observes, phenomene qui n'est pas majoritaire aujourd'hui dans le secteur.""",W,b'Full depth avalanche',Rain,Warming,,Damp,3 - MARQUE,45.341467,7.033131,/attached-files/thumbnails/1640798108178-1640798372255-IMG9895.JPG,2,False,,1640798536000,1960,0
1641221128495,1640732400000,Belledonne,Grand Crozet,brêche du Frêne,"b""avalanche certainement due a l'humidification du manteau neigeux entre le 27 et 29 decembre 2021""",N,b'',,,,,Inconnu,45.35690498716204,6.193500678500185,/attached-files/thumbnails/1641221056094-DSC03340.JPG,2,False,,1641221128000,2450,2150
1641252055632,1640732400000,Taillefer - Matheysine,Taillefer,Sommet du Taillefer,"b""Date inconnue mais probablement le mercredi 29 decembre (date a laquelle il a plus toute la journee jusqu'a au moins 2800m (cf photo 2 avec les dessins des rigoles de pluie)\r\nLe declenchement de l'avalanche n'a pas ete observe en direct, mais le constat a ete fait  lors de l'ascension du Taillefer le 2 janvier 2022 (montee par la Crete Brouffier, pas de la Mine, arete Pinelli , col du Grand Van et face Ouest). Avalanche parfaitement visible en contrebas depuis l'arete sud qui conduit au sommet du Taillefer . Declenchement sous forme de plaque bien visible sur la photo 3. L'avalanche a balaye toute la face sud-est du Taillefer jusqu'au replat 2640 / 2630 juste au-dessus du depart du ruisseau des Ramays.\r\nD'autres purges egalement observees (meme date ?) en face egalement sud-est sous l'arete Pinelli (arete de la Croix Pinelli vers le Petit Taillefer), ainsi que dans la Combe sud de l'Emay (en rive gauche entre 2200 et 1700m environ / orientation sud-sud ouest)""",SE,b'',Unknown,,,,Inconnu,45.03903377234154,5.925231055183473,/attached-files/thumbnails/1641249231767-202201021438141.jpg,4,False,,1641252055000,2800,2630
1640857604453,1640732400000,Haute Maurienne,Bonneval sur Arc - Buffettes,,"b""Declenchement preventif positif pour la securisation de l'acces a Bonneval-sur-Arc. Resultat important (mais pas exceptionnel) pour le secteur.""",SE,b'',GAZEX,Snow,,Damp,Inconnu,45.365219,7.011941,http://www.alea-avalanches.com/cg73/thumbnails/1640857604453-DJI_0189.JPG,3,False,,1641155217000,3200,1760
1640798942825,1640732400000,Haute Maurienne,Bessans - Balme Noire,,"b""Une des tres nombreuses purges spontanees observees ce jour, jamais de grande ampleur (jusqu'a present).""",W,b'',Rain,Warming,,Wet,Inconnu,45.346603,7.033072,http://www.alea-avalanches.com/cg73/thumbnails/1640798942825-IMG_9913.JPG,3,False,,1640798942000,2000,1750
1640806812284,1640732400000,Haute Maurienne,Bessans,Rebon,"b""Une des plus grandes avalanches observees aujourd'hui dans le secteur, avec une ampleur habituelle.""",SE,b'',Snow,Warming,,,4 - FORT,45.322417,6.979085,/attached-files/thumbnails/1640806812284-1640807006743-2174222821721771668a.JPG,1,False,,1640807021000,3300,1730
1640895361448,1640732400000,Monte Bianco,Pointe Helbronner,Glacier de Toule ,"b""Plaque partie probablement hier le 29. Il a plu jusqu'a 2600 m. Neige mouillee. Bulletin danger Avalanche 4.""",SE,b'',Rain,,,Wet,4 - FORT,45.83546574689529,6.940115269350767,/attached-files/thumbnails/1640895249359-IMG20211230142016.jpg,1,False,,1640897291000,2500,2350
1640797832915,1640732400000,,col de l'eissalette,Col de l’Eissalete depuis les Orres 1800,b'Avalanches spontanees de neige humide lourde que lon a observees lorsque nous etions au debut du vallon de lEissalette.\r\nDautres coulees sur le chemin plus bas en altitude observees dans la foret le matin et lapres-midi egalement.',E,b'',,,,,Inconnu,44.45674699176859,6.546337673680297,/attached-files/thumbnails/1640797481823-A252239498554B15800A8191508E85C7.jpeg,3,False,,1640797832000,2400,2100
1641038658043,1640732400000,Oisans,La Grave,Petite Buffe,"b""Avalanche de plaque, depart naturel\r\nL'ecoulement, relativement important, concerne un itineraire de ski de randonnee ou de raquette alpine (voir capture d'ecran IphiGeNie).""",SE,b'',Warming,,,,Inconnu,45.08967870017819,6.291836961120657,/attached-files/thumbnails/1641038425495-petitebuffe1.jpg,2,False,,1641038658000,2630,-32
1641155580173,1640732400000,Haute Maurienne,Bessans,,,W,b'',GAZEX,Snow,,Damp,Inconnu,45.338487,7.041659,,0,True,,1641155580000,2778,1750
1640782912805,1640732400000,Vanoise,Pralognan La Vavoise,,,NE,b'',GAZEX,Snow,,Damp,Inconnu,45.385139,6.695077,,0,True,,1640782912000,2300,0
1640766216330,1640732400000,Vanoise,Les Arcs,,,NE,b'',GAZEX,Snow,,Damp,Inconnu,45.577563,6.833047,,0,True,,1640766216000,1960,1930
1640765320333,1640732400000,Vanoise,Champagny-le-haut,,,SE,b'',GAZEX,Snow,,Damp,3 - MARQUE,45.466117,6.720005,,0,True,,1640765487000,2170,0
1640686961457,1640646000000,Cerces,Col du Galibier,,"b'Plaque declenchee par notre passage a ski en aval. \r\nSeule la neige recente est partie. La vielle neige est restee en place. \r\nUn test nivologique realise dans la zone d\'amorce de rupture montre bien une propagation efficace au PST et a lECT dans une couche fragile de neige fraiche. La plaque est constituee de neige fraiche a 80kg/m3. \r\n<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Pv8QuBPBJos"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""true""></iframe>'",S,b'Soft slab',"Ski touring, uphill",,,Soft dry,3 - MARQUE,45.054300517776085,6.414856910705567,/attached-files/thumbnails/1640686961457-1640687209616-FB49CFB33A7D45EB9CC140BE9FCCE0A3.jpeg,4,False,"à distance, ",1640708951000,2345,2300
1640763808933,1640646000000,Cerces,Col du Galibier,Roche Noire,"b'""alors quelle descendait a skis du col du Galibier en direction du col du Lautaret (commune de Monetier-les-Bains), une coulee de neige la emportee et ensevelie dans le secteur de Roche Noire""\r\nLocalisation incertaine.\r\nCoherence avec nos observations 2 heures auparavant dans le secteur ?'",T,b'',"Ski touring, downhill",,,,Inconnu,45.052782,6.398784,,0,False,,1640764009000,0,0
1640953119230,1640646000000,Mont Thabor,,,"b""Avalanche de faible ampleur declenchee par passage d'un skieur a la montee (groupe de 3). Plaque a vent sous un leger relief. 1 personne partiellement ensevelie.""",SE,b'',,,,,Inconnu,45.129838515766394,6.5858807820039456,,0,False,,1640953119000,2600,0
1640706590001,1640646000000,Oisans,,Les ardoisières,,S,b'Full depth avalanche',Rain,Snow,,Damp,3 - MARQUE,45.048375614112906,6.320046186447144,,0,True,,1640706774000,0,1550
1641415142761,1640646000000,Chartreuse,Dent de Crolles,Couloir du Frangeat,,SE,b'',,,,,3 - MARQUE,45.302152908384045,5.86346090643514,,0,True,,1641415284000,0,0
1640707037338,1640646000000,Oisans,,Serre du Coin,,S,b'',Rain,Snow,,,3 - MARQUE,45.04709552311821,6.30915641784668,,0,True,,1640707199000,0,1528
1641291878894,1640646000000,Maurienne,,,,W,b'',,,,,Inconnu,45.1860683408207,6.439211368560792,,0,True,,1641292000000,0,0
1640614344212,1640559600000,Belledonne,Montagne des Chalmettes,Grande Draye et changement de trajectoire à mi-parcours pour finir dans le bas de la combe de la Vesce,"b'Une des avalanches observees ce jour, pendant le debut de la perturbation. Lecoulement marron, semble recent (aujourdhui ?). \r\n\r\nDepart entre dimanche 26/12 a 12h et lundi 27/12 a 14h.\r\n\r\nCette avalanche est deja descendue 3 fois cette saison.'",S,b'',Rain,Warming,,Wet,2 - LIMITE,45.12612500640234,6.009666449208938,/attached-files/thumbnails/1640614344212-1640614615463-CAA63FEBC50D428BAF3F4225C717029A.jpeg,3,False,,1641147666000,2000,800
1640421719828,1640386800000,Champsaur,Orcières,Prapic,,S,b'Full depth avalanche',Warming,Rain,,Damp,Inconnu,44.689477,6.352678,,0,True,,1640422868000,0,1455
1641495825968,1640386800000,Champsaur,,talus d'Archinard,,SE,b'',,,,,Inconnu,44.66562337673336,6.319997312456451,,0,True,,1641496118000,1540,1520
1640890701116,1640386800000,Matheysine,Notre Dame de La Salette,RD 212C,,E,b'',Warming,,,Damp,Inconnu,44.849717,5.960705,,0,True,,1640890971000,0,1580
1640712904092,1640386800000,Vanoise,Saint Jean de Bellevilles,Niélard,,E,b'Full depth avalanche',Warming,,,Damp,Inconnu,45.424789,6.46007,,0,True,,1640712904000,1985,0
1640421507983,1640300400000,Champsaur,Orcières,Prapic,,S,b'Full depth avalanche',Warming,Rain,,Damp,Inconnu,44.689515,6.353105,,0,True,,1640422849000,0,1455
1640017565735,1639954800000,Belledonne,La grande lauziere,Freydières (1130 m)  croix de belledonne,"b""Ancienne avalanche tout est parti jusqu'au sol, au depart on voit une rupture assez inhabituelle comme endroit. \r\nLa coulee a traversee le bout du lac des domenons.""",N,b'',Wind,,,,Inconnu,45.15988447406034,5.958836373077259,/attached-files/thumbnails/1640017413442-DSC08544.JPG,7,False,,1640019608000,2650,2400
1640017887278,1639954800000,Belledonne,PIC du grand doménon,Freydières (1130 m)  croix de belledonne,b'Avalanche ancienne on distingue un rupture en haut',N,b'',Wind,,,,Inconnu,45.16273681781106,5.9712060516467345,/attached-files/thumbnails/1640017801911-00DSC08548.JPG,2,False,,1640019676000,2650,2450
1640115431050,1639954800000,Oisans,,Rochers Mouillés,,S,b'',,,,,Inconnu,45.044812891556695,6.29767656326294,,0,True,,1640115557000,0,1449
1640036139837,1639782000000,Vosges,Drumont,,"b""Coulee du aux fortes chaleurs de l'apres midi qui a tout racle jusqu'a la neige. Attention dans le secteur j'ai aussi pus remarquer une plaque qui etait parti entre le gustiberg et le drumont, ainsi que la chute de plusieurs corniches""",T,b'',Warming,,,,Inconnu,47.90324337553198,6.9189244508743295,/attached-files/thumbnails/1640036114172-20211220093336.jpg,2,False,,1640036139000,1200,1048
1640011781061,1639782000000,Monte Rosa,Roccia Nera,Via normale Roccia Nera,"b""Due alpinisti a piedi in discesa. Uno viene travolto e trascinato lungo il salto di rocce. Intervenuto il soccorso alpino valdostano con l'elicottero. Ferito, e in rianimazione all'ospedale.\r\nPericolo valanghe previsto dal bollettino valanghe: 2-moderato\r\n\r\nPer maggiori info:\r\nhttps://aostasera.it/notizie/cronaca/valanga-alla-roccia-nera-grave-uno-scialpinista/\r\n\r\nhttps://www.ansa.it/sito/notizie/cronaca/2021/12/18/valanga-sul-monte-rosa-coinvolto-uno-scialpinista_d102663c-0aa4-4e1d-84f1-dbb418174264.html\r\n\r\nhttps://www.newsbiella.it/2021/12/19/leggi-notizia/argomenti/cronaca-5/articolo/valanga-sul-monte-rosa-e-biellese-lo-scialpinista-travolto-ora-in-rianimazione.html""",SW,b'',Alpinist,,,,Inconnu,45.932566473190064,7.773438692092896,,0,False,,1640011781000,0,0
